Component,Parameter_Group,Parameter,Value,Type
Autoencoder,main,learning_rate,0.001,float
Autoencoder,main,batch_size,32,int
Autoencoder,main,epochs,25,int
Autoencoder,main,optimizer,adam,str
Autoencoder,main,loss_function,binary_crossentropy,str
Autoencoder,main,latent_dim,128,int
Autoencoder,main,early_stopping_patience,15,int
Autoencoder,main,lr_reduction_factor,0.2,float
Autoencoder,main,lr_reduction_patience,8,int
Autoencoder,main,min_learning_rate,1.00E-05,float
Autoencoder,regularization,l2_lambda,0.001,float
Autoencoder,regularization,dropout_rate,0.2,float
Autoencoder,regularization,batch_norm,TRUE,bool
